,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
6259,40720502,50415961,South Riverdale,43.65991,-79.33519,Entire home/apt,149.0,28,2,2020-03-13,0.04,1,0,0,4.85
6260,40725319,157840461,Dovercourt-Wallace Emerson-Junction,43.67009,-79.4463,Private room,80.0,28,5,2020-03-08,0.1,1,180,0,5.0
6261,40726762,303097039,Kensington-Chinatown,43.65386,-79.39553,Private room,46.0,28,64,2023-09-01,1.33,4,58,2,4.27
6262,40728935,316158731,Caledonia-Fairbank,43.68891,-79.45645,Private room,85.0,29,15,2023-10-14,0.31,1,89,6,5.0
6263,40729698,161392,Niagara,43.64361,-79.41362,Entire home/apt,295.0,3,38,2024-01-01,2.82,2,86,36,4.89
6264,40729876,303097039,Kensington-Chinatown,43.65398,-79.3952,Private room,46.0,30,39,2023-07-31,0.79,4,88,1,4.46
6265,40729987,26817595,Islington-City Centre West,43.63954,-79.5592,Entire home/apt,149.0,90,4,2020-08-16,0.08,1,281,0,5.0
6266,40730812,303097039,Kensington-Chinatown,43.65367,-79.39518,Private room,45.0,28,25,2022-10-04,0.51,4,88,0,4.56
6267,40732626,303097039,Kensington-Chinatown,43.65196,-79.39665,Private room,43.0,30,45,2023-08-31,0.91,4,90,4,4.36
6268,40735349,316265097,Annex,43.6684,-79.41297,Private room,120.0,28,6,2020-03-27,0.12,1,0,0,4.5
6269,40780896,316836234,Kingsview Village-The Westway,43.70248,-79.5584,Entire home/apt,149.0,28,20,2023-12-21,0.41,1,179,3,4.95
6270,40794765,428428857,Greenwood-Coxwell,43.66822,-79.31814,Private room,100.0,28,70,2023-03-05,2.63,1,243,2,4.71
6271,40795800,35338845,Westminster-Branson,43.76714,-79.44277,Entire home/apt,120.0,28,6,2020-10-03,0.12,1,0,0,4.67
6272,40798649,155230504,Rouge,43.79828,-79.1367,Entire home/apt,128.0,28,4,2023-09-09,0.15,8,137,2,5.0
6273,40802522,130894728,Keelesdale-Eglinton West,43.68214,-79.46293,Entire home/apt,120.0,28,5,2020-04-08,0.1,4,0,0,4.8
6274,40815297,208891609,Bridle Path-Sunnybrook-York Mills,43.71428,-79.3864,Entire home/apt,105.0,28,17,2023-10-19,0.37,1,62,3,4.88
6275,40816256,185046129,Niagara,43.644642717146034,-79.41338552,Entire home/apt,225.0,3,92,2024-01-02,1.88,2,269,34,4.88
6276,40818252,18896932,Junction Area,43.67408,-79.46715,Entire home/apt,286.0,5,12,2023-09-02,0.29,1,131,4,4.92
6277,40823367,317529496,Markland Wood,43.63049,-79.56036,Entire home/apt,85.0,28,13,2022-02-28,0.27,1,93,0,4.69
6278,40824488,21809656,Newtonbrook East,43.79035,-79.40106,Entire home/apt,145.0,28,13,2021-08-10,0.27,4,42,0,4.54
6279,40825439,26714305,Willowdale West,43.76972,-79.4341,Private room,55.0,28,3,2022-08-01,0.06,1,365,0,5.0
6280,40825771,35892901,Annex,43.67507,-79.39456,Entire home/apt,100.0,28,1,2020-01-04,0.02,1,0,0,4.85
6281,40833151,317682808,Newtonbrook West,43.78557,-79.41832,Entire home/apt,443.0,28,3,2019-12-29,0.06,1,177,0,5.0
6282,40835342,246638,North Riverdale,43.67386,-79.34834,Entire home/apt,65.0,14,15,2023-09-02,0.33,2,151,5,4.87
6283,40839064,152675,University,43.65938,-79.40818,Private room,49.0,28,2,2023-06-17,0.17,4,52,2,4.85
6284,40843430,228793542,Briar Hill-Belgravia,43.69915,-79.44019,Private room,120.0,28,58,2023-11-03,1.44,10,0,16,4.26
