,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
16618,942293857270716026,Villa in Toronto · ★4.89 · 4 bedrooms · 4 beds · 3.5 baths,527537039,Bedford Park-Nortown,43.73257844982114,-79.426924,Entire home/apt,618.0,2,9,2024-01-06,1.66,1,321,9,4.89
16619,942307771341733286,Home in Toronto · 2 bedrooms · 2 beds · 2 baths,500712176,Islington-City Centre West,43.65322002941946,-79.53995102,Entire home/apt,250.0,2,2,2023-08-27,0.42,1,90,2,4.85
16620,942322862950475226,Rental unit in Toronto · ★4.95 · 2 bedrooms · 3 beds · 1 bath,527543288,Waterfront Communities-The Island,43.641906693850586,-79.39238558,Entire home/apt,187.0,2,21,2024-01-03,4.92,1,249,21,4.95
16621,942587602555127997,Home in Toronto · 2 bedrooms · 2 beds · 1.5 baths,52325373,Annex,43.67457,-79.39135,Entire home/apt,390.0,9,2,2023-09-17,0.5,1,74,2,1.5
16622,942772827745375962,Rental unit in Toronto · ★5.0 · Studio · 1 bed · 1 bath,14655063,Trinity-Bellwoods,43.64572143823599,-79.41717023,Entire home/apt,140.0,5,4,2023-12-22,1.18,1,69,4,5.0
16623,942773023734268437,Home in Toronto · ★5.0 · 2 bedrooms · 3 beds · 2 baths,284546109,Kennedy Park,43.72712,-79.26945,Entire home/apt,175.0,28,16,2023-12-03,3.84,1,0,16,5.0
16624,942809675941884950,Rental unit in Toronto · 2 bedrooms · 3 beds · 1 bath,36823972,University,43.66505,-79.39813,Entire home/apt,160.0,28,0,,0.625,2,269,0,4.85
16625,942826475459694823,Rental unit in Toronto · ★4.78 · 2 bedrooms · 3 beds · 2 baths,373955363,Waterfront Communities-The Island,43.63874,-79.3968,Entire home/apt,192.0,1,23,2023-12-24,4.18,2,79,23,4.78
16626,942836197426995150,Condo in Toronto · ★New · Studio · 1 bath,231861383,Church-Yonge Corridor,43.64975,-79.37242,Entire home/apt,86.0,29,0,,0.625,1,254,0,4.85
16627,942882814742779883,Townhouse in Toronto · 1 bedroom · 1 bed · 1.5 shared baths,44964154,Annex,43.67704,-79.39518,Private room,60.0,28,0,,0.625,8,46,0,1.5
16628,942885805107550217,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,93252572,Glenfield-Jane Heights,43.756569551974,-79.51186094,Private room,77.0,1,5,2023-12-25,0.96,3,141,5,5.0
16629,942951569843231659,Condo in Toronto · 2 bedrooms · 2 beds · 1 bath,527656051,Waterfront Communities-The Island,43.64257213471241,-79.38055005,Entire home/apt,91.0,28,2,2023-12-19,0.87,1,246,2,4.85
16630,942971714801744631,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,527730112,Don Valley Village,43.7865,-79.35941,Private room,115.0,1,4,2023-12-27,1.03,1,365,4,5.0
16631,943011195512598617,Rental unit in Toronto · ★4.70 · 1 bedroom · 2 beds · 1 bath,525707488,Waterfront Communities-The Island,43.640914296615335,-79.3962819,Entire home/apt,113.0,1,19,2024-01-01,3.99,1,0,19,4.7
